frame,landmark,x,y,z,visibility
8,7,0.711483,0.441662,-0.583313,0.999973
8,8,0.637589,0.446485,-0.561554,0.999922
8,9,0.690534,0.531264,-0.599660,0.999950
8,10,0.665211,0.534951,-0.594355,0.999953
8,11,0.774336,0.480664,-0.447068,0.999897
8,12,0.596523,0.496837,-0.422854,0.999517
8,13,0.817377,0.650132,-0.407599,0.993587
8,14,0.563602,0.650331,-0.353349,0.984170
8,15,0.832542,0.854668,-0.443574,0.974795
8,16,0.558405,0.856258,-0.390486,0.964317
8,17,0.854288,0.877603,-0.480165,0.908164
8,18,0.536552,0.871927,-0.420081,0.871827
8,19,0.836063,0.879698,-0.495130,0.936511
8,20,0.558279,0.876623,-0.439895,0.907431
8,21,0.824206,0.873798,-0.452294,0.924473
8,22,0.568332,0.872810,-0.400119,0.897597
8,23,0.736592,0.652579,-0.011893,0.999463
8,24,0.658308,0.658958,0.011816,0.999210
8,25,0.736437,0.707396,0.315050,0.541165
8,26,0.673226,0.725258,0.334563,0.549889
8,27,0.725723,0.716431,0.647427,0.355655
8,28,0.688052,0.727937,0.668400,0.347231
8,29,0.723029,0.699478,0.680994,0.155012
8,30,0.689138,0.709465,0.702697,0.148193
8,31,0.724790,0.795492,0.638348,0.511719
8,32,0.695708,0.807659,0.646367,0.495375
9,0,0.672663,0.535442,-0.613581,0.999974
9,1,0.682255,0.503510,-0.626658,0.999970
9,2,0.691162,0.497657,-0.626661,0.999970
9,3,0.698496,0.491297,-0.626822,0.999975
9,4,0.660192,0.506063,-0.622210,0.999960
9,5,0.653471,0.502032,-0.622345,0.999947
9,6,0.646563,0.496496,-0.622357,0.999953
9,7,0.711252,0.456028,-0.558345,0.999974
9,8,0.637144,0.461296,-0.535858,0.999927
9,9,0.689601,0.546557,-0.573829,0.999952
9,10,0.664596,0.550148,-0.567985,0.999955
9,11,0.774505,0.495454,-0.432830,0.999904
9,12,0.596178,0.509956,-0.406203,0.999562
9,13,0.818732,0.660745,-0.389572,0.993600
9,14,0.562506,0.656073,-0.337708,0.984249
9,15,0.832602,0.855415,-0.421864,0.973944
