frame,landmark,x,y,z,visibility
5,32,0.281569,0.964476,-0.059084,0.974013
6,0,0.573435,0.183906,-0.151297,0.999941
6,1,0.576694,0.163991,-0.130888,0.999830
6,2,0.576474,0.163453,-0.130836,0.999778
6,3,0.575929,0.162774,-0.130766,0.999806
6,4,0.573686,0.160297,-0.171639,0.999926
6,5,0.571591,0.157259,-0.171692,0.999932
6,6,0.569121,0.153502,-0.171760,0.999942
6,7,0.559568,0.152244,-0.024581,0.999465
6,8,0.550555,0.140484,-0.210083,0.999943
6,9,0.563395,0.198995,-0.107833,0.999856
6,10,0.560615,0.195206,-0.161439,0.999944
6,11,0.533282,0.251061,0.093274,0.999711
6,12,0.472767,0.204866,-0.254867,0.999988
6,13,0.505495,0.403423,0.148711,0.130483
6,14,0.434534,0.370991,-0.307383,0.997365
6,15,0.508991,0.542365,0.070735,0.348359
6,16,0.417114,0.532975,-0.328562,0.991380
6,17,0.508598,0.578880,0.069072,0.362270
6,18,0.409119,0.569995,-0.358897,0.983722
6,19,0.511730,0.578808,0.033178,0.380145
6,20,0.416062,0.574176,-0.358060,0.983963
6,21,0.509538,0.568254,0.052473,0.368968
6,22,0.421118,0.563926,-0.326048,0.975072
6,23,0.494796,0.544423,0.091667,0.999099
6,24,0.456570,0.525396,-0.091689,0.999457
6,25,0.442736,0.729830,-0.068057,0.925193
6,26,0.413593,0.747819,-0.112481,0.974714
6,27,0.326298,0.839492,0.051911,0.894754
6,28,0.299518,0.853223,0.027113,0.975232
6,29,0.299036,0.830419,0.060366,0.867034
6,30,0.277228,0.841203,0.036495,0.916630
6,31,0.307398,0.934526,-0.024436,0.932237
6,32,0.276381,0.960770,-0.059804,0.974085
7,0,0.574479,0.184405,-0.156839,0.999941
7,1,0.578248,0.164532,-0.136790,0.999834
7,2,0.577945,0.163965,-0.136738,0.999782
7,3,0.577365,0.163265,-0.136668,0.999811
7,4,0.575142,0.160722,-0.177696,0.999928
7,5,0.572999,0.157622,-0.177750,0.999933
7,6,0.570548,0.153902,-0.177827,0.999943
7,7,0.561114,0.152863,-0.031089,0.999482
7,8,0.552631,0.141479,-0.218007,0.999944
7,9,0.564042,0.199749,-0.113522,0.999856
7,10,0.561111,0.195713,-0.167399,0.999943
7,11,0.533357,0.251182,0.089939,0.999710
7,12,0.473562,0.205276,-0.263920,0.999987
7,13,0.505630,0.403542,0.149114,0.125307
7,14,0.434531,0.371052,-0.317174,0.997405
7,15,0.509916,0.542652,0.073648,0.342122
7,16,0.417052,0.533102,-0.338726,0.991688
7,17,0.509864,0.579807,0.073409,0.357156
7,18,0.408923,0.570381,-0.369817,0.984290
7,19,0.512565,0.579903,0.037237,0.374932
7,20,0.416121,0.574496,-0.368734,0.984537
7,21,0.510302,0.569077,0.055353,0.363896
7,22,0.421203,0.564057,-0.335988,0.975718
7,23,0.494530,0.546291,0.092618,0.999142
7,24,0.456497,0.527303,-0.092646,0.999469
7,25,0.443017,0.730082,-0.062105,0.926249
7,26,0.413432,0.747517,-0.111951,0.974850
7,27,0.322783,0.839383,0.049892,0.896107
7,28,0.298377,0.852432,0.034570,0.974527
7,29,0.295767,0.829201,0.057782,0.869412
7,30,0.276411,0.840179,0.044675,0.916686
7,31,0.297991,0.933759,-0.027156,0.933856
7,32,0.274654,0.958372,-0.050688,0.973726
8,0,0.575953,0.186758,-0.152630,0.999941
8,1,0.580051,0.166866,-0.132818,0.999838
8,2,0.579614,0.166197,-0.132770,0.999787
8,3,0.578959,0.165326,-0.132707,0.999816
8,4,0.577156,0.162963,-0.172789,0.999929
8,5,0.574974,0.159707,-0.172836,0.999935
8,6,0.572579,0.156017,-0.172908,0.999944
8,7,0.562627,0.154658,-0.028327,0.999502
8,8,0.555236,0.143719,-0.210901,0.999945
8,9,0.565131,0.202054,-0.109637,0.999857
8,10,0.562068,0.197586,-0.162397,0.999943
8,11,0.534410,0.251554,0.091245,0.999712
8,12,0.474304,0.206395,-0.256285,0.999987
8,13,0.507069,0.403615,0.156618,0.121012
8,14,0.434520,0.371081,-0.309380,0.997405
8,15,0.511139,0.543331,0.085554,0.337570
8,16,0.416916,0.533136,-0.332069,0.991892
